Table 7:  Indicators of undernutrition in children (0-59 months) – 2019-21,,,,
State/UT,Stunting (low height for age),Wasting (low weight for height),Underweight (low weight for age),
Andhra Pradesh,31.2%,16.1%,29.6%,
Arunachal Pradesh,28.0%,13.1%,15.4%,
Assam,35.3%,21.7%,32.8%,
Bihar,42.9%,22.9%,41.0%,
Chhattisgarh,34.6%,18.9%,31.3%,
Goa,25.8%,19.1%,24.0%,
Gujarat,39.0%,25.1%,24.0%,
Haryana,27.5%,11.5%,39.7%,
Himachal Pradesh,30.8%,17.4%,25.5%,
Jharkhand,39.6%,22.4%,39.4%,
Karnataka,35.4%,22.4%,32.9%,
Kerala,23.4%,19.5%,19.7%,
Madhya Pradesh,35.7%,17.4%,33.0%,
Maharashtra,35.2%,18.9%,36.1%,
Manipur,23.4%,25.6%,13.3%,
Meghalaya,46.5%,9.9%,26.6%,
Mizoram,28.9%,12.1%,12.7%,
Nagaland,32.7%,9.8%,26.9%,
Odisha,31.0%,18.1%,29.7%,
Punjab,24.5%,10.6%,16.9%,
Rajasthan,31.8%,16.8%,27.6%,
Sikkim,22.3%,13.6%,13.1%,
Tamil Nadu,25.0%,14.6%,22.0%,
Telangana,33.1%,21.7%,31.8%,
Tripura,32.3%,18.2%,25.6%,
Uttar Pradesh,39.7%,17.3%,32.1%,
Uttarakhand,27.0%,13.2%,21.0%,
West Bengal,33.8%,20.3%,32.2%,
Andaman and Nicobar Islands,22.5%,16.0%,23.6%,
Chandigarh,25.3%,8.4%,20.6%,
Dadra and Nagar Haveli and Daman and Diu,39.4%,21.6%,38.7%,
Delhi,30.9%,11.2%,21.8%,
Jammu & Kashmir,26.9%,19.0%,21.0%,
Ladakh,30.5%,17.5%,20.4%,
Lakshadweep,32.0%,17.4%,25.8%,
Puducherry,20.0%,12.4%,15.3%,
India,35.5%,19.3%,32.1%,
"Sources: National Family Health Survey - 5, 2019-21; PRS.",,,,
